last_name, first_name,player_id,year,b_ab,b_swinging_strike,xba,xslg,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel,barrel_batted_rate,z_swing_percent,oz_swing_percent,pitch_count,f_strike_percent,
Cabrera, Miguel,408234,2021,472,259,.234,.420,.315,.301,.186,91.4,10,32.8,30,8.3,69.1,30.3,2035,62.5,
Cruz Jr., Nelson,443558,2021,513,344,.265,.514,.364,.341,.249,92.9,11.8,31.8,54,13.6,73.8,31,2198,63.4,
Peralta, David,444482,2021,487,204,.243,.345,.293,.313,.103,89.3,5.3,27.2,20,5,66.6,27,2062,57.8,
Blackmon, Charlie,453568,2021,514,205,.292,.457,.361,.370,.165,87.6,10.2,32.6,30,7,67.8,26.2,2144,61.3,
McCutchen, Andrew,457705,2021,482,249,.240,.431,.344,.352,.191,88.8,14.6,33.6,32,9,63.7,19.1,2308,62.1,
Turner, Justin,457759,2021,533,194,.270,.470,.359,.358,.199,90.9,19.2,36.5,35,7.9,66.9,22.6,2465,55.4,
Votto, Joey,458015,2021,448,288,.274,.592,.406,.383,.318,92.9,18.2,44.3,56,17.2,68.1,21.7,2232,58.7,
Andrus, Elvis,462101,2021,497,197,.273,.375,.308,.324,.102,87.8,8.1,34,9,2.1,66,31.7,2053,62.3,
Santana, Carlos,467793,2021,565,261,.244,.422,.335,.345,.178,89.9,12.9,28,32,6.8,66.9,22.5,2706,57.2,
Lowrie, Jed,476704,2021,457,230,.259,.465,.344,.332,.206,90.7,16.4,36.5,33,9.3,70.9,20.6,2033,58,
Brantley Jr., Michael,488726,2021,469,93,.312,.466,.361,.365,.154,89.5,9.9,38.8,24,5.8,65.9,24.1,1868,63.3,
Gurriel, Yuli,493329,2021,530,136,.271,.386,.326,.347,.115,89.8,13.4,31,16,3.4,62.2,26.1,2292,59.7,
Rojas, Miguel,500743,2021,495,176,.249,.345,.292,.308,.096,86.2,11.5,32.4,12,2.8,66.4,26.3,2001,57,
Escobar, Eduardo,500871,2021,549,284,.249,.455,.328,.310,.206,87,20.8,38,38,8.9,72.2,28.8,2404,57,
